w1,w2,w3,w4,w5,w6,op_vout,op_satlist,op_gain,op_gain_db,op_inmin,op_inmax,op_outmin,op_outmax,dc_outmin,dc_outmax,dc_inmin,dc_inmax,tran_gain,tran_gain_db,ac_gain,ac_gain_db,ac_GBP,
1e-06,1e-06,3e-07,3e-07,2e-06,2e-06,9.88927e-01,6,2.28783e+01,2.71885e+01,7.79385e-01,1.98227e+00,8.68248e-01,1.51014e+00,3.50430e-01,1.72631e+00,5.40000e-01,1.52000e+00,2.08593e+01,2.63860e+01,2.24548e+01,2.70262e+01,2.40410e+08,
1e-06,1e-06,3e-07,3e-07,2e-06,4e-06,1.09909e+00,6,2.31589e+01,2.72944e+01,6.77909e-01,2.03862e+00,8.76964e-01,1.58954e+00,3.89337e-01,1.74105e+00,5.00000e-01,1.60000e+00,2.11331e+01,2.64992e+01,2.28002e+01,2.71588e+01,1.38950e+08,
1e-06,1e-06,3e-07,3e-07,2e-06,6e-06,1.14620e+00,6,2.30033e+01,2.72358e+01,6.30303e-01,2.05988e+00,8.76480e-01,1.62433e+00,4.05767e-01,1.74527e+00,4.80000e-01,1.63000e+00,2.10104e+01,2.64487e+01,2.26809e+01,2.71132e+01,1.00000e+08,
1e-06,1e-06,3e-07,3e-07,2e-06,8e-06,1.17413e+00,6,2.28108e+01,2.71628e+01,6.00509e-01,2.07066e+00,8.74622e-01,1.64490e+00,4.17349e-01,1.74282e+00,4.70000e-01,1.65000e+00,2.08529e+01,2.63833e+01,2.25107e+01,2.70478e+01,8.03086e+07,
1e-06,1e-06,3e-07,3e-07,2e-06,1e-05,1.19335e+00,4,2.26331e+01,2.70949e+01,5.79303e-01,2.07688e+00,8.72637e-01,1.65886e+00,4.26317e-01,1.74944e+00,4.60000e-01,1.66000e+00,2.07053e+01,2.63216e+01,2.23481e+01,2.69848e+01,6.44947e+07,
1e-06,1e-06,3e-07,3e-07,4e-06,2e-06,8.23651e-01,6,2.12593e+01,2.65510e+01,8.33289e-01,1.89330e+00,7.56813e-01,1.39544e+00,3.17508e-01,1.71029e+00,6.00000e-01,1.38000e+00,1.93518e+01,2.57344e+01,2.07995e+01,2.63611e+01,3.34048e+08,
1e-06,1e-06,3e-07,3e-07,4e-06,4e-06,9.88104e-01,6,2.28735e+01,2.71867e+01,7.20597e-01,1.98183e+00,8.08637e-01,1.50956e+00,3.50156e-01,1.72604e+00,5.50000e-01,1.52000e+00,2.08568e+01,2.63850e+01,2.24520e+01,2.70251e+01,2.40410e+08,
1e-06,1e-06,3e-07,3e-07,4e-06,6e-06,1.05806e+00,6,2.31459e+01,2.72895e+01,6.68837e-01,2.01830e+00,8.26850e-01,1.55959e+00,3.77363e-01,1.73871e+00,5.30000e-01,1.57000e+00,2.11130e+01,2.64910e+01,2.27592e+01,2.71432e+01,1.73020e+08,
1e-06,1e-06,3e-07,3e-07,4e-06,8e-06,1.09852e+00,6,2.31596e+01,2.72946e+01,6.36860e-01,2.03835e+00,8.35352e-01,1.58912e+00,3.89173e-01,1.74086e+00,5.10000e-01,1.60000e+00,2.11330e+01,2.64992e+01,2.27999e+01,2.71587e+01,1.38950e+08,
1e-06,1e-06,3e-07,3e-07,4e-06,1e-05,1.12569e+00,6,2.30959e+01,2.72707e+01,6.14296e-01,2.05100e+00,8.39956e-01,1.60915e+00,3.98211e-01,1.73818e+00,5.00000e-01,1.62000e+00,2.10841e+01,2.64791e+01,2.27565e+01,2.71421e+01,1.24520e+08,
1e-06,1e-06,3e-07,3e-07,6e-06,2e-06,6.94801e-01,6,1.89446e+01,2.55497e+01,8.72952e-01,1.82378e+00,6.67565e-01,1.30728e+00,2.95166e-01,1.68410e+00,6.50000e-01,1.27000e+00,1.73802e+01,2.48011e+01,1.84764e+01,2.53324e+01,4.15956e+08,
1e-06,1e-06,3e-07,3e-07,6e-06,4e-06,8.99078e-01,6,2.21608e+01,2.69117e+01,7.50334e-01,1.93409e+00,7.49315e-01,1.44738e+00,3.31401e-01,1.72828e+00,5.80000e-01,1.44000e+00,2.01907e+01,2.61030e+01,2.17167e+01,2.67359e+01,2.99358e+08,
1e-06,1e-06,3e-07,3e-07,6e-06,6e-06,9.87916e-01,6,2.28724e+01,2.71862e+01,6.94713e-01,1.98173e+00,7.82565e-01,1.50943e+00,3.50108e-01,1.72597e+00,5.50000e-01,1.51000e+00,2.08558e+01,2.63845e+01,2.24508e+01,2.70246e+01,2.40410e+08,
1e-06,1e-06,3e-07,3e-07,6e-06,8e-06,1.03920e+00,6,2.31009e+01,2.72726e+01,6.60714e-01,2.00863e+00,7.99870e-01,1.54598e+00,3.72403e-01,1.73223e+00,5.40000e-01,1.55000e+00,2.10694e+01,2.64731e+01,2.27029e+01,2.71216e+01,1.93070e+08,
1e-06,1e-06,3e-07,3e-07,6e-06,1e-05,1.07339e+00,6,2.31652e+01,2.72967e+01,6.36896e-01,2.02603e+00,8.10248e-01,1.57073e+00,3.81648e-01,1.73207e+00,5.20000e-01,1.58000e+00,2.11323e+01,2.64990e+01,2.27877e+01,2.71540e+01,1.73020e+08,
1e-06,1e-06,3e-07,3e-07,8e-06,2e-06,5.89952e-01,5,1.59411e+01,2.40504e+01,9.05484e-01,1.76794e+00,5.95192e-01,1.23555e+00,2.77512e-01,1.62248e+00,6.90000e-01,1.17000e+00,1.51723e+01,2.36210e+01,1.54527e+01,2.37801e+01,4.64159e+08,
